	name	data_shape	unique_labels	path	f1_svm	acc_svm	f1_lin	acc_lin
30	plant-shape	(1600, 65)	100	/home/lev/datasets/classification_data/plant-shape/plant-shape_R.dat	0.3325	0.3562	0.5828	0.6146
31	spambase	(4601, 58)	2	/home/lev/datasets/classification_data/spambase/spambase_R.dat	0.9187	0.9225	0.9053	0.9095
32	cardiotocography-3clases	(2126, 22)	3	/home/lev/datasets/classification_data/cardiotocography-3clases/cardiotocography-3clases_R.dat	0.8257	0.9075	0.8104	0.8966
33	statlog-shuttle_train	(43500, 10)	7	/home/lev/datasets/classification_data/statlog-shuttle/statlog-shuttle_train_R.dat	0.0	0.0	0.0	0.0
34	statlog-shuttle_tes	(14500, 10)	7	/home/lev/datasets/classification_data/statlog-shuttle/statlog-shuttle_test_R.dat	0.5494	0.9975	0.5527	0.9676
35	ermatology	(366, 35)	6	/home/lev/datasets/classification_data/dermatology/dermatology_R.dat	0.9912	0.9909	0.9912	0.9909
36	glass	(214, 10)	6	/home/lev/datasets/classification_data/glass/glass_R.dat	0.6409	0.6769	0.5182	0.5692
37	connect-4	(67557, 43)	2	/home/lev/datasets/classification_data/connect-4/connect-4_R.dat	0.0	0.0	0.0	0.0
38	ecoli	(336, 8)	8	/home/lev/datasets/classification_data/ecoli/ecoli_R.dat	0.6304	0.8614	0.6142	0.8713
39	vertebral-column-3clases	(310, 7)	3	/home/lev/datasets/classification_data/vertebral-column-3clases/vertebral-column-3clases_R.dat	0.7367	0.7849	0.7386	0.7957
40	image-segmentation_train	(210, 19)	7	/home/lev/datasets/classification_data/image-segmentation/image-segmentation_train_R.dat	0.8586	0.8413	0.8704	0.8571
41	image-segmentation_tes	(2100, 19)	7	/home/lev/datasets/classification_data/image-segmentation/image-segmentation_test_R.dat	0.9395	0.9413	0.9387	0.9397
42	fertility	(100, 10)	2	/home/lev/datasets/classification_data/fertility/fertility_R.dat	0.4828	0.9333	0.4828	0.9333
43	led-display	(1000, 8)	10	/home/lev/datasets/classification_data/led-display/led-display_R.dat	0.7166	0.72	0.749	0.7467
44	spect_tes	(186, 23)	2	/home/lev/datasets/classification_data/spect/spect_test_R.dat	0.6387	0.6429	0.599	0.6071
45	spect_train	(79, 23)	2	/home/lev/datasets/classification_data/spect/spect_train_R.dat	0.4947	0.6667	0.4947	0.6667
46	udiology-std_tes	(25, 60)	5	/home/lev/datasets/classification_data/audiology-std/audiology-std_test_R.dat	0.2361	0.375	0.36	0.5
47	udiology-std_train	(171, 60)	18	/home/lev/datasets/classification_data/audiology-std/audiology-std_train_R.dat	0.3255	0.6154	0.5105	0.7115
48	steel-plates	(1941, 28)	7	/home/lev/datasets/classification_data/steel-plates/steel-plates_R.dat	0.7385	0.7376	0.7008	0.7221
49	pittsburg-bridges-TYPE	(105, 8)	6	/home/lev/datasets/classification_data/pittsburg-bridges-TYPE/pittsburg-bridges-TYPE_R.dat	0.3488	0.5312	0.2923	0.4688
50	conn-bench-vowel-deterding_tes	(462, 12)	11	/home/lev/datasets/classification_data/conn-bench-vowel-deterding/conn-bench-vowel-deterding_test_R.dat	0.8803	0.8777	0.7035	0.705
51	conn-bench-vowel-deterding_train	(528, 12)	11	/home/lev/datasets/classification_data/conn-bench-vowel-deterding/conn-bench-vowel-deterding_train_R.dat	0.8947	0.8931	0.5845	0.5975
52	conn-bench-sonar-mines-rocks	(208, 61)	2	/home/lev/datasets/classification_data/conn-bench-sonar-mines-rocks/conn-bench-sonar-mines-rocks_R.dat	0.8342	0.8413	0.8238	0.8254
53	semeion	(1593, 257)	10	/home/lev/datasets/classification_data/semeion/semeion_R.dat	0.9405	0.9414	0.9266	0.9268
54	credit-approval	(690, 16)	2	/home/lev/datasets/classification_data/credit-approval/credit-approval_R.dat	0.8329	0.8357	0.863	0.8647
55	iris	(150, 5)	3	/home/lev/datasets/classification_data/iris/iris_R.dat	0.976	0.9778	0.976	0.9778
56	wine-quality-white	(4898, 12)	7	/home/lev/datasets/classification_data/wine-quality-white/wine-quality-white_R.dat	0.2582	0.5517	0.2581	0.5333
57	itanic	(2201, 4)	2	/home/lev/datasets/classification_data/titanic/titanic_R.dat	0.7225	0.7716	0.7133	0.7655
58	waveform-noise	(5000, 41)	3	/home/lev/datasets/classification_data/waveform-noise/waveform-noise_R.dat	0.8647	0.8647	0.8701	0.87
59	haberman-survival	(306, 4)	2	/home/lev/datasets/classification_data/haberman-survival/haberman-survival_R.dat	0.4889	0.6522	0.4129	0.6304
60	cardiotocography-10clases	(2126, 22)	10	/home/lev/datasets/classification_data/cardiotocography-10clases/cardiotocography-10clases_R.dat	0.7234	0.8072	0.7646	0.8213
61	chess-krvk	(28056, 7)	18	/home/lev/datasets/classification_data/chess-krvk/chess-krvk_R.dat	0.0	0.0	0.0	0.0
62	monks-3_tes	(432, 7)	2	/home/lev/datasets/classification_data/monks-3/monks-3_test_R.dat	0.9769	0.9769	0.7598	0.7615
63	monks-3_train	(122, 7)	2	/home/lev/datasets/classification_data/monks-3/monks-3_train_R.dat	0.9459	0.9459	0.8108	0.8108
64	contrac	(1473, 10)	3	/home/lev/datasets/classification_data/contrac/contrac_R.dat	0.5228	0.5566	0.4856	0.5136
65	page-blocks	(5473, 11)	5	/home/lev/datasets/classification_data/page-blocks/page-blocks_R.dat	0.603	0.9562	0.7232	0.958
66	balloons	(16, 5)	2	/home/lev/datasets/classification_data/balloons/balloons_R.dat	1.0	1.0	0.8	0.8
67	pittsburg-bridges-MATERIAL	(106, 8)	3	/home/lev/datasets/classification_data/pittsburg-bridges-MATERIAL/pittsburg-bridges-MATERIAL_R.dat	0.5067	0.8125	0.5333	0.8125
68	breast-tissue	(106, 10)	6	/home/lev/datasets/classification_data/breast-tissue/breast-tissue_R.dat	0.4018	0.5312	0.6512	0.6875
69	oocytes_trisopterus_states_5b	(912, 33)	3	/home/lev/datasets/classification_data/oocytes_trisopterus_states_5b/oocytes_trisopterus_states_5b_R.dat	0.9358	0.9124	0.906	0.9197
70	post-operative	(90, 9)	3	/home/lev/datasets/classification_data/post-operative/post-operative_R.dat	0.3721	0.5926	0.3721	0.5926
71	statlog-australian-credi	(690, 15)	2	/home/lev/datasets/classification_data/statlog-australian-credit/statlog-australian-credit_R.dat	0.4096	0.657	0.4219	0.657
72	heart-clevelan	(303, 14)	5	/home/lev/datasets/classification_data/heart-cleveland/heart-cleveland_R.dat	0.2734	0.5495	0.3178	0.5824
73	flags	(194, 29)	8	/home/lev/datasets/classification_data/flags/flags_R.dat	0.2155	0.4407	0.2693	0.4407
74	car	(1728, 7)	4	/home/lev/datasets/classification_data/car/car_R.dat	0.9084	0.9634	0.6497	0.8035
75	ult_train	(32561, 15)	2	/home/lev/datasets/classification_data/adult/adult_train_R.dat	0.0	0.0	0.0	0.0
76	ult_tes	(16281, 15)	2	/home/lev/datasets/classification_data/adult/adult_test_R.dat	0.7648	0.8452	0.7549	0.8364
77	mammographic	(961, 6)	2	/home/lev/datasets/classification_data/mammographic/mammographic_R.dat	0.8067	0.8097	0.8151	0.8166
78	hill-valley_tes	(606, 101)	2	/home/lev/datasets/classification_data/hill-valley/hill-valley_test_R.dat	0.3944	0.4945	0.5783	0.6154
79	hill-valley_train	(606, 101)	2	/home/lev/datasets/classification_data/hill-valley/hill-valley_train_R.dat	0.4939	0.5385	0.7555	0.7747
80	monks-2_train	(169, 7)	2	/home/lev/datasets/classification_data/monks-2/monks-2_train_R.dat	0.5077	0.6078	0.4006	0.5686
81	monks-2_tes	(432, 7)	2	/home/lev/datasets/classification_data/monks-2/monks-2_test_R.dat	0.5793	0.7231	0.4144	0.7077
82	pittsburg-bridges-T-OR-D	(102, 8)	2	/home/lev/datasets/classification_data/pittsburg-bridges-T-OR-D/pittsburg-bridges-T-OR-D_R.dat	0.4746	0.9032	0.4746	0.9032
83	waveform	(5000, 22)	3	/home/lev/datasets/classification_data/waveform/waveform_R.dat	0.8686	0.87	0.8632	0.864
84	ringnorm	(7400, 21)	2	/home/lev/datasets/classification_data/ringnorm/ringnorm_R.dat	0.986	0.986	0.7532	0.7536
85	chess-krvkp	(3196, 37)	2	/home/lev/datasets/classification_data/chess-krvkp/chess-krvkp_R.dat	0.9823	0.9823	0.9687	0.9687
86	parkinsons	(195, 23)	2	/home/lev/datasets/classification_data/parkinsons/parkinsons_R.dat	0.8883	0.9322	0.8224	0.8814
87	hyroid_train	(3772, 22)	3	/home/lev/datasets/classification_data/thyroid/thyroid_train_R.dat	0.7077	0.9523	0.82	0.9647
88	hyroid_tes	(3428, 22)	3	/home/lev/datasets/classification_data/thyroid/thyroid_test_R.dat	0.6315	0.9436	0.7192	0.9495
89	statlog-vehicle	(846, 19)	4	/home/lev/datasets/classification_data/statlog-vehicle/statlog-vehicle_R.dat	0.7535	0.7402	0.7897	0.7756
90	oocytes_merluccius_nucleus_4	(1022, 42)	2	/home/lev/datasets/classification_data/oocytes_merluccius_nucleus_4d/oocytes_merluccius_nucleus_4d_R.dat	0.65	0.7427	0.7053	0.759
91	eaching	(151, 6)	3	/home/lev/datasets/classification_data/teaching/teaching_R.dat	0.4841	0.5	0.4981	0.5
92	balone	(4177, 9)	3	/home/lev/datasets/classification_data/abalone/abalone_R.dat	0.658	0.6619	0.6545	0.6627
93	oocytes_trisopterus_nucleus_2f	(912, 26)	2	/home/lev/datasets/classification_data/oocytes_trisopterus_nucleus_2f/oocytes_trisopterus_nucleus_2f_R.dat	0.8137	0.8212	0.8175	0.8212
94	hayes-roth_train	(132, 4)	3	/home/lev/datasets/classification_data/hayes-roth/hayes-roth_train_R.dat	0.854	0.825	0.5839	0.55
95	hayes-roth_tes	(28, 4)	3	/home/lev/datasets/classification_data/hayes-roth/hayes-roth_test_R.dat	0.55	0.5556	0.4444	0.4444
96	primary-tumor	(330, 18)	15	/home/lev/datasets/classification_data/primary-tumor/primary-tumor_R.dat	0.27	0.4747	0.271	0.4646
97	breast-cancer	(286, 10)	2	/home/lev/datasets/classification_data/breast-cancer/breast-cancer_R.dat	0.5082	0.6744	0.5549	0.6512
98	nursery	(12960, 9)	5	/home/lev/datasets/classification_data/nursery/nursery_R.dat	0.9643	0.9838	0.8192	0.9074
99	pendigits_tes	(3498, 17)	10	/home/lev/datasets/classification_data/pendigits/pendigits_test_R.dat	0.9914	0.9914	0.9466	0.9467
100	pendigits_train	(7494, 17)	10	/home/lev/datasets/classification_data/pendigits/pendigits_train_R.dat	0.9977	0.9978	0.9611	0.9613
101	ionosphere	(351, 34)	2	/home/lev/datasets/classification_data/ionosphere/ionosphere_R.dat	0.9413	0.9434	0.889	0.8962
102	monks-1_tes	(432, 7)	2	/home/lev/datasets/classification_data/monks-1/monks-1_test_R.dat	0.9069	0.9077	0.6359	0.6385
103	monks-1_train	(124, 7)	2	/home/lev/datasets/classification_data/monks-1/monks-1_train_R.dat	0.6577	0.6579	0.5742	0.5789
104	magic	(19020, 11)	2	/home/lev/datasets/classification_data/magic/magic_R.dat	0.849	0.8696	0.7563	0.7907
105	lymphography	(148, 19)	4	/home/lev/datasets/classification_data/lymphography/lymphography_R.dat	0.4438	0.8667	0.6867	0.8667
106	hepatitis	(155, 20)	2	/home/lev/datasets/classification_data/hepatitis/hepatitis_R.dat	0.5224	0.7872	0.6769	0.8085
107	lung-cancer	(32, 57)	3	/home/lev/datasets/classification_data/lung-cancer/lung-cancer_R.dat	0.4127	0.4	0.3556	0.4
108	zoo	(101, 17)	7	/home/lev/datasets/classification_data/zoo/zoo_R.dat	0.6319	0.871	0.9238	0.9677
109	breast-cancer-wisc-prog	(198, 34)	2	/home/lev/datasets/classification_data/breast-cancer-wisc-prog/breast-cancer-wisc-prog_R.dat	0.486	0.75	0.6875	0.8
110	energy-y1	(768, 9)	3	/home/lev/datasets/classification_data/energy-y1/energy-y1_R.dat	0.8213	0.8701	0.8186	0.8615
111	ozone	(2536, 73)	2	/home/lev/datasets/classification_data/ozone/ozone_R.dat	0.493	0.9724	0.5957	0.9698
112	lenses	(24, 5)	3	/home/lev/datasets/classification_data/lenses/lenses_R.dat	0.8586	0.875	1.0	1.0
113	musk-1	(476, 167)	2	/home/lev/datasets/classification_data/musk-1/musk-1_R.dat	0.8353	0.8392	0.8513	0.8531
114	rains	(10, 30)	2	/home/lev/datasets/classification_data/trains/trains_R.dat	0.25	0.3333	0.25	0.3333
115	plant-margin	(1600, 65)	100	/home/lev/datasets/classification_data/plant-margin/plant-margin_R.dat	0.7753	0.7875	0.8295	0.8333
116	yeas	(1484, 9)	10	/home/lev/datasets/classification_data/yeast/yeast_R.dat	0.5988	0.6278	0.5743	0.5987
117	heart-switzerlan	(123, 13)	5	/home/lev/datasets/classification_data/heart-switzerland/heart-switzerland_R.dat	0.1555	0.3243	0.1988	0.3243
118	cute-inflammation	(120, 7)	2	/home/lev/datasets/classification_data/acute-inflammation/acute-inflammation_R.dat	1.0	1.0	1.0	1.0
119	pittsburg-bridges-SPAN	(92, 8)	3	/home/lev/datasets/classification_data/pittsburg-bridges-SPAN/pittsburg-bridges-SPAN_R.dat	0.5459	0.5714	0.5412	0.5714
120	vertebral-column-2clases	(310, 7)	2	/home/lev/datasets/classification_data/vertebral-column-2clases/vertebral-column-2clases_R.dat	0.7823	0.8065	0.799	0.8172
121	statlog-hear	(270, 14)	2	/home/lev/datasets/classification_data/statlog-heart/statlog-heart_R.dat	0.8091	0.8148	0.8226	0.8272
122	wine-quality-re	(1599, 12)	6	/home/lev/datasets/classification_data/wine-quality-red/wine-quality-red_R.dat	0.2939	0.6333	0.2824	0.6208
123	musk-2	(6598, 167)	2	/home/lev/datasets/classification_data/musk-2/musk-2_R.dat	0.9277	0.9652	0.8853	0.9444
124	balance-scale	(625, 5)	3	/home/lev/datasets/classification_data/balance-scale/balance-scale_R.dat	0.6355	0.9255	0.5909	0.8617
125	oocytes_merluccius_states_2f	(1022, 26)	3	/home/lev/datasets/classification_data/oocytes_merluccius_states_2f/oocytes_merluccius_states_2f_R.dat	0.8862	0.9218	0.9207	0.9349
126	low-res-spec	(531, 101)	9	/home/lev/datasets/classification_data/low-res-spect/low-res-spect_R.dat	0.4132	0.8688	0.5278	0.9062
127	pim	(768, 9)	2	/home/lev/datasets/classification_data/pima/pima_R.dat	0.6974	0.7576	0.7257	0.7792
128	heart-hungarian	(294, 13)	2	/home/lev/datasets/classification_data/heart-hungarian/heart-hungarian_R.dat	0.7487	0.764	0.7881	0.7978
129	mushroom	(8124, 22)	2	/home/lev/datasets/classification_data/mushroom/mushroom_R.dat	1.0	1.0	0.944	0.9442
130	statlog-landsat_train	(4435, 37)	6	/home/lev/datasets/classification_data/statlog-landsat/statlog-landsat_train_R.dat	0.8656	0.8993	0.8044	0.861
131	statlog-landsat_tes	(2000, 37)	6	/home/lev/datasets/classification_data/statlog-landsat/statlog-landsat_test_R.dat	0.8658	0.88	0.8106	0.8417
132	wall-following	(5456, 25)	4	/home/lev/datasets/classification_data/wall-following/wall-following_R.dat	0.8766	0.8852	0.6378	0.6756
133	rrhythmi	(452, 263)	13	/home/lev/datasets/classification_data/arrhythmia/arrhythmia_R.dat	0.1457	0.5588	0.3748	0.6397
134	breast-cancer-wisc-diag	(569, 31)	2	/home/lev/datasets/classification_data/breast-cancer-wisc-diag/breast-cancer-wisc-diag_R.dat	0.9747	0.9766	0.9747	0.9766
135	ic-tac-toe	(958, 10)	2	/home/lev/datasets/classification_data/tic-tac-toe/tic-tac-toe_R.dat	0.9688	0.9722	0.9567	0.9618
136	wonorm	(7400, 21)	2	/home/lev/datasets/classification_data/twonorm/twonorm_R.dat	0.9793	0.9793	0.982	0.982
137	bank	(4521, 17)	2	/home/lev/datasets/classification_data/bank/bank_R.dat	0.6136	0.8873	0.6593	0.8873
138	letter	(20000, 17)	26	/home/lev/datasets/classification_data/letter/letter_R.dat	0.9456	0.9453	0.7788	0.7813
139	horse-colic_tes	(68, 26)	2	/home/lev/datasets/classification_data/horse-colic/horse-colic_test_R.dat	0.6636	0.6667	0.7083	0.7143
140	horse-colic_train	(300, 26)	2	/home/lev/datasets/classification_data/horse-colic/horse-colic_train_R.dat	0.8062	0.8444	0.8036	0.8333
141	SUSY	(4999999, 19)	2	/home/lev/datasets/classification_data/SUSY/SUSY.csv	0.879	0.879	0.879	0.879
142	SUSY-small	(249999, 19)	2	/home/lev/datasets/classification_data/SUSY-small/SUSY.csv	0.879	0.879	0.879	0.879
143	cora	(2708, 1434)	7	/home/lev/object-centric/classification_data/cora/cora.csv	0.0	0.0	0.0	0.0
143	SUSY-small2	(50000, 19)	2	/home/jary/Desktop/lev/datasets/classification_data/SUSY/SUSY-small.csv	0.0	0.0	0.0	0.0
